year,venue,title,authors,paper,video,code,data,unofficial_code,category,subtask,supervision,method,note,top_note
2018,ACL,Unpaired Sentiment-to-Sentiment Translation: A Cycled Reinforcement Learning Approach,"Jingjing Xu, Xu Sun, Qi Zeng, Xuancheng Ren, Xiaodong Zhang, Houfeng Wang, Wenjie Li",https://arxiv.org/pdf/1805.05181,,https://github.com/lancopku/unpaired-sentiment-translation,,,unsup-disent,,,,,
2018,EMNLP,Learning Sentiment Memories for Sentiment Modification without Parallel Data,"Yi Zhang, Jingjing Xu, Pengcheng Yang, Xu Sun",https://arxiv.org/pdf/1808.07311.pdf,,https://github.com/lancopku/SMAE,,,unsup-disent,,,,,
2018,NeurIPS,Unsupervised Text Style Transfer using Language Models as Discriminators,"Zichao Yang, Zhiting Hu, Chris Dyer, Eric P. Xing, Taylor Berg-Kirkpatrick",https://arxiv.org/pdf/1805.11749.pdf,,,,,unsup-disent,,,,,
2018,NeurIPS,Content preserving text generation with attribute controls,"Lajanugen Logeswaran, Honglak Lee, Samy Bengio",https://arxiv.org/pdf/1811.01135.pdf,,,,,unsup-disent,,,,,
2018,NeurIPS,Adversarial Text Generation via Feature-Mover's Distance,"Liqun Chen, Shuyang Dai, Chenyang Tao, Dinghan Shen, Zhe Gan, Haichao Zhang, Yizhe Zhang, Lawrence Carin",https://arxiv.org/pdf/1809.06297,,,,https://github.com/knok/chainer-fm-gan,unsup-disent,,,,,
2018,arXiv,Language Style Transfer from Sentences with Arbitrary Unknown Styles,"Yanpeng Zhao, Wei Bi, Deng Cai, Xiaojiang Liu, Kewei Tu, Shuming Shi",,,,,,unsup-disent,,,,,
2018,arXiv,Structured Content Preservation for Unsupervised Text Style Transfer,"Youzhi Tian, Zhiting Hu, Zhou Yu",https://arxiv.org/pdf/1810.06526.pdf,,https://github.com/YouzhiTian/Structured-Content-Preservation-for-Unsupervised-Text-Style-Transfer,,,unsup-disent,,,,,
2019,NAACL,Reinforcement Learning Based Text Style Transfer without Parallel Training Corpus,"Hongyu Gong, Suma Bhat, Lingfei Wu, Jinjun Xiong, Wen-mei Hwu",https://arxiv.org/pdf/1903.10671.pdf,,,,,unsup-disent,,,,,
2019,ICLR,Multiple-Attribute Text Style Transfer (Rewriting),"Guillaume Lample, Sandeep Subramanian, Eric Smith, Ludovic Denoyer, Marc'Aurelio Ranzato, Y-Lan Boureau",https://arxiv.org/pdf/1811.00552.pdf,,https://github.com/facebookresearch/MultipleAttributeTextRewriting,,,unsup-disent,,,,,
2019,ACL,Disentangled Representation Learning for Non-Parallel Text Style Transfer,"Vineet John, Lili Mou, Hareesh Bahuleyan, Olga Vechtomova",https://arxiv.org/pdf/1808.04339,,https://github.com/vineetjohn/linguistic-style-transfer,,,unsup-disent,,,,,
2019,ACL,Style Transformer: Unpaired Text Style Transfer without Disentangled Latent Representation,"Ning Dai, Jianze Liang, Xipeng Qiu, Xuanjing Huang",https://arxiv.org/pdf/1905.05621.pdf,,,,,unsup-disent,,,,,
2019,ACL,A Hierarchical Reinforced Sequence Operation Method for Unsupervised Text Style Transfer,"Chen Wu, Xuancheng Ren, Fuli Luo, Xu Sun",https://www.aclweb.org/anthology/P19-1482.pdf,,https://github.com/ChenWu98/Point-Then-Operate,,,unsup-disent,,,,,
2019,ACL,Generating Sentences from Disentangled Syntactic and Semantic Spaces,"Yu Bao, Hao Zhou, Shujian Huang, Lei Li, Lili Mou, Olga Vechtomova, Xin-yu Dai, Jiajun Chen",https://www.aclweb.org/anthology/P19-1602.pdf,,https://github.com/baoy-nlp/DSS-VAE,,,unsup-disent,,,,,
2019,IJCAI,A Dual Reinforcement Learning Framework for Unsupervised Text Style Transfer,"Fuli Luo, Peng Li, Jie Zhou, Pengcheng Yang, Baobao Chang, Zhifang Sui, Xu Sun",https://arxiv.org/pdf/1905.10060.pdf,,https://github.com/luofuli/DualLanST,,,unsup-disent,,,,,
2019,NeurIPS,Controllable Unsupervised Text Attribute Transfer via Editing Entangled Latent Representation,"Ke Wang, Hang Hua, Xiaojun Wan",https://arxiv.org/pdf/1905.12926.pdf,,https://github.com/Nrgeup/controllable-text-attribute-transfer,,,unsup-disent,,,,,
2019,ICAART,Towards Controlled Transformation of Sentiment in Sentences,"Wouter Leeftink, Gerasimos Spanakis",https://arxiv.org/pdf/1901.11467.pdf,,,,,unsup-disent,,,,,
2019,WNGT,Decomposing Textual Information For Style Transfer,"Ivan P. Yamshchikov, Viacheslav Shibaev, Aleksander Nagaev, Jürgen Jost, Alexey Tikhonov",https://www.aclweb.org/anthology/D19-5613.pdf,,https://github.com/VAShibaev/textstyletransfer,,,unsup-disent,,,,,
2019,arXiv,Grammatical Error Correction and Style Transfer via Zero-shot Monolingual Translation,"Elizaveta Korotkova, Agnes Luhtaru, Maksym Del, Krista Liin, Daiga Deksne, Mark Fishel",https://arxiv.org/pdf/1903.11283.pdf,,,,,unsup-disent,,,,,
2019,arXiv,Zero-Shot Fine-Grained Style Transfer: Leveraging Distributed Continuous Style Representations to Transfer To Unseen Styles,"Eric Michael Smith, Diana Gonzalez-Rico, Emily Dinan, Y-Lan Boureau",,,,,,unsup-disent,,,,,
2020,AAAI,Revision in Continuous Space: Unsupervised Text Style Transfer without Adversarial Learning,"Dayiheng Liu, Jie Fu, Yidan Zhang, Chris Pal, Jiancheng Lv",https://arxiv.org/pdf/1905.12304.pdf,,https://github.com/dayihengliu/,,,unsup-disent,,,,,
2020,ICML,On Variational Learning of Controllable Representations for Text without Supervision,"Peng Xu, Jackie Chi Kit Cheung, Yanshuai Cao",https://arxiv.org/pdf/1905.11975.pdf,,https://github.com/BorealisAI/CP-VAE,,,unsup-disent,,,,,
2020,ICLR,A Probabilistic Formulation of Unsupervised Text Style Transfer,"Junxian He, Xinyi Wang, Graham Neubig, Taylor Berg-Kirkpatrick",https://openreview.net/forum?id=HJlA0C4tPS,,https://github.com/cindyxinyiwang/deep-latent-sequence-model,,,unsup-disent,,,,,
2020,ACL,Exploring Contextual Word-level Style Relevance for Unsupervised Style Transfer,"Chulun Zhou, Liangyu Chen, Jiachen Liu, Xinyan Xiao, Jinsong Su, Sheng Guo, Hua Wu",https://arxiv.org/pdf/2005.02049.pdf,,https://github.com/PaddlePaddle/Research/tree/master/NLP/ACL2020-WST,,,unsup-disent,,,,,
2020,ACL,Pre-train and Plug-in: Flexible Conditional Text Generation with Variational Auto-Encoders,"Yu Duan, Canwen Xu, Jiaxin Pei, Jialong Han, Chenliang Li",https://arxiv.org/pdf/1911.03882.pdf,,,,,unsup-disent,,,,,
2020,IJCAI,Text Style Transfer via Learning Style Instance Supported Latent Space,"Xiaoyuan Yi, Zhenghao Liu, Wenhao Li, Maosong Sun",https://www.ijcai.org/Proceedings/2020/0526.pdf,https://www.ijcai.org/proceedings/2020/video/24313,github.com/XiaoyuanYi/StyIns,,,unsup-disent,,,,,
2020,EMNLP,Contextual Text Style Transfer,"Yu Cheng, Zhe Gan, Yizhe Zhang, Oussama Elachqar, Dianqi Li, Jingjing Liu",https://www.aclweb.org/anthology/2020.findings-emnlp.263.pdf,,https://github.com/ych133/CAST,,,unsup-disent,"formality, offensiveness",,,,
2020,COLING,Cycle-Consistent Adversarial Autoencoders for Unsupervised Text Style Transfer,"Yufang Huang, Wentao Zhu, Deyi Xiong, Yiye Zhang, Changjian Hu, Feiyu Xu",https://arxiv.org/pdf/2010.00735.pdf,,,,,unsup-disent,,,,,
2020,COLING,How Positive Are You: Text Style Transfer using Adaptive Style Embedding,"Heejin Kim, Kyung-Ah Sohn",https://www.aclweb.org/anthology/2020.coling-main.191.pdf,,https://github.com/kinggodhj/How-Positive-Are-You-Text-Style-Transfer-using-Adaptive-Style-Embedding,,,unsup-disent,,,,,
2020,ECIR,SentiInc: Incorporating Sentiment Information into Sentiment Transfer Without Parallel Data,"Kartikey Pant, Yash Verma, Radhika Mamidi",https://link.springer.com/content/pdf/10.1007%2F978-3-030-45442-5_39.pdf,,,,,unsup-disent,,,,,
2020,ECIR,Reinforced Rewards Framework for Text Style Transfer,"Abhilasha Sancheti, Kundan Krishna, Balaji Vasan Srinivasan, Anandhavelu Natarajan",https://arxiv.org/pdf/2005.05256.pdf,,,,,unsup-disent,,,,,
2020,arXiv,ST2: Small-data Text Style Transfer via Multi-task Meta-Learning,"Xiwen Chen, Kenny Q. Zhu",https://arxiv.org/pdf/2004.11742.pdf,,,,,unsup-disent,,,,,
2020,arXiv,Learning to Generate Multiple Style Transfer Outputs for an Input Sentence,"Kevin Lin, Ming-Yu Liu, Ming-Ting Sun, Jan Kautz",https://arxiv.org/pdf/2002.06525.pdf,,,,,unsup-disent,,,,,
Unsupervised (Edit-Based),,,,,,,,,,,,,,
2018,TACL,Generating sentences by editing prototypes,"Kelvin Guu, Tatsunori B. Hashimoto, Yonatan Oren, Percy Liang",https://arxiv.org/pdf/1709.08878.pdf,,,,,unsup-edit,,,,,
2018,NAACL,"Delete, Retrieve, Generate: A Simple Approach to Sentiment and Style Transfer","Juncen Li, Robin Jia, He He, Percy Liang",https://arxiv.org/pdf/1804.06437,,https://github.com/lijuncen/Sentiment-and-Style-Transfer,,,unsup-edit,,,,,
2019,IJCAI,Mask and Infill: Applying Masked Language Model to Sentiment Transfer,"Xing Wu, Tao Zhang, Liangjun Zang, Jizhong Han, Songlin Hu",https://arxiv.org/pdf/1908.08039,,https://github.com/lancopku/Unpaired-Sentiment-Translation,,,unsup-edit,,,,,
2019,EMNLP,"Transforming Delete, Retrieve, Generate Approach for Controlled Text Style Transfer","Akhilesh Sudhakar, Bhargav Upadhyay, Arjun Maheswaran",https://arxiv.org/pdf/1908.09368,,https://github.com/agaralabs/transformer-drg-style-transfer,,,unsup-edit,,,,,
2019,EMNLP,"Style Transfer for Texts: Retrain, Report Errors, Compare with Rewrites","Alexey Tikhonov, Viacheslav Shibaev, Aleksander Nagaev, Aigul Nugmanova, Ivan P. Yamshchikov",https://arxiv.org/pdf/1908.06809.pdf,,https://github.com/VAShibaev/text_style_transfer,,,unsup-edit,,,,,
2020,EMNLP,Unsupervised Text Style Transfer with Padded Masked Language Models,"Eric Malmi, Aliaksei Severyn, Sascha Rothe",https://arxiv.org/pdf/2010.01054.pdf,,,,,unsup-edit,,,,,
2020,INLG,Stable Style Transformer: Delete and Generate Approach with Encoder-Decoder for Text Style Transfer,Joosung Lee,https://arxiv.org/pdf/2005.12086.pdf,,https://github.com/rungjoo/Stable-Style-Transformer,,,unsup-edit,,,,,
Unsupervised (Pseudo Corpus Generation),,,,,,,,,,,,,,
2018,EMNLP,QuaSE: Sequence Editing under Quantifiable Guidance,"Yi Liao, Lidong Bing, Piji Li, Shuming Shi, Wai Lam, Tong Zhang",https://arxiv.org/pdf/1804.07007.pdf,,https://bitbucket.org/leoeaton/quase/src/master/,,,unsup-pseudo,,,,,
2018,arXiv,Style Transfer as Unsupervised Machine Translation,,https://arxiv.org/pdf/1808.07894.pdf,,,,,unsup-pseudo,,,,,
2019,EMNLP,IMaT: Unsupervised Text Attribute Transfer via Iterative Matching and Translation,"Zhijing Jin, Di Jin, Jonas Mueller, Nicholas Matthews, Enrico Santus",https://arxiv.org/pdf/1901.11333.pdf,,https://github.com/zhijing-jin/IMaT,,,unsup-pseudo,,,,,
2019,RANLP,Large-scale Hierarchical Alignment for Data-driven Text Rewriting,"Nikola I. Nikolov, Richard H.R. Hahnloser",https://arxiv.org/pdf/1810.08237.pdf,,https://github.com/ninikolov/lha,,,unsup-pseudo,,,,,
2020,NeurIPS,Unsupervised Text Generation by Learning from Search,"Jingjing Li, Zichao Li, Lili Mou, Xin Jiang, Michael R. Lyu, Irwin King",https://papers.nips.cc/paper/2020/file/7a677bb4477ae2dd371add568dd19e23-Paper.pdf,,,,,unsup-pseudo,,,,,
Unsupervised (By paraphrasing),,,,,,,,,,,,,,
2020,EMNLP,Reformulating Unsupervised Style Transfer as Paraphrase Generation,"Kalpesh Krishna, John Wieting, Mohit Iyyer",https://arxiv.org/pdf/2010.05700.pdf,https://slideslive.com/38938942/reformulating-unsupervised-style-transfer-as-paraphrase-generation,https://github.com/martiansideofthemoon/style-transfer-paraphrase,,,unsup-paraphrase,,,,,
2020,EMNLP,DGST: a Dual-Generator Network for Text Style Transfer,"Xiao Li, Guanyi Chen, Chenghua Lin, Ruizhe Li",https://arxiv.org/pdf/2010.14557.pdf,,,,,unsup-paraphrase,,,,,
2020,PETS,Effective writing style imitation via combinatorial paraphrasing,"Tommi Gröndahl, N. Asokan",https://arxiv.org/pdf/1905.13464.pdf,,,,,unsup-paraphrase,,,,,
Semi Supervised,,,,,,,,,,,,,,
2019,EMNLP,Semi-supervised Text Style Transfer: Cross Projection in Latent Space,"Mingyue Shang, Piji Li, Zhenxin Fu, Lidong Bing, Dongyan Zhao, Shuming Shi, Rui Yan",https://arxiv.org/pdf/1909.11493.pdf,,,,,semisup,,,,,
Formality,,,,,,,,,,,,,,
2018,NAACL,"Dear Sir or Madam, May I introduce the YAFC Dataset: Corpus, Benchmarks and Metrics for Formality Style Transfer","Sudha Rao, Joel Tetreault",https://arxiv.org/pdf/1803.06535.pdf,,https://github.com/raosudha89/GYAFC-corpus,Formality https://github.com/raosudha89/GYAFC-corpus,,task-formality,formality,supervised,,,
2019,AAAI,Unsupervised Controllable Text Formalization,"Parag Jain, Abhijit Mishra, Amar Prakash Azad, Karthik Sankaranarayanan",https://arxiv.org/pdf/1809.04556,,https://github.com/parajain/uctf,,,task-formality,formality,,,,
2019,arXiv,Formality Style Transfer with Hybrid Textual Annotations,"Ruochen Xu, Tao Ge, Furu Wei",https://arxiv.org/pdf/1903.06353.pdf,,,,,task-formality,formality,,,,
2019,EMNLP,Domain Adaptive Text Style Transfer,"Dianqi Li, Yizhe Zhang, Zhe Gan, Yu Cheng, Chris Brockett, Ming-Ting Sun, Bill Dolan",https://arxiv.org/pdf/1908.09395.pdf,,https://github.com/cookielee77/DAST,,,task-formality,formality,,,,
2019,EMNLP,Harnessing Pre-Trained Neural Networks with Rules for Formality Style Transfer,"Yunli Wang, Yu Wu, Lili Mou, Zhoujun Li, Wenhan Chao",https://www.aclweb.org/anthology/D19-1365/,,https://github.com/jimth001/formality_emnlp19,,,task-formality,formality,supervised,,,
2020,COLING,Formality Style Transfer with Shared Latent Space,"Yunli Wang, Yu Wu, Lili Mou, Zhoujun Li, Wenhan Chao",https://www.aclweb.org/anthology/2020.coling-main.203.pdf,,https://github.com/jimth001/formality_style_transfer_,,,task-formality,formality,,,,
2020,ACL,Parallel Data Augmentation for Formality Style Transfer,"Yi Zhang, Tao Ge, Xu Sun",https://arxiv.org/pdf/2005.07522.pdf,,https://github.com/lancopku/Augmented_Data_for_FST,,,task-formality,formality,semi-supervised,,,
Politeness,,,,,,,,,,,,,,
2018,TACL,Polite dialogue generation without parallel data,"Tong Niu, Mohit Bansal",https://watermark.silverchair.com/tacl_a_00027.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAqkwggKlBgkqhkiG9w0BBwagggKWMIICkgIBADCCAosGCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQMdDYQr39GPklZ_M-TAgEQgIICXFbyhaOxmtgwYYgXOGAJtZfP2w2pVWIg5HzgDDYKnt9hJ2XkY5a-uplf_UPSoyRcAlEoIOYhHnL9i1CzChK37bA-y5vUQdldwBYc5pToXaMl1QCFveKDxANV8WMeAYPbLEVNJnZnpYlRGs9AXYqjlfMeeL7cUAwV0aR5cwq8qwrQt-NLUUHGT3hIu0Z0Dhwx878xafjmR2IBbgtYhsdZcfXAHiEtoZCczspDghywH_gV6Q4FShjMLS1B9Djx8EpbBW15UAam0-k6KgGj8ZsevrnnCzROemaHXdpWhTIzVTnkkvsNeHaj-1ML9x9MjySUhsB6DW0nebkc6mbrQiZyCSdXB2nP429yYUwsjDKB_NjmbjB-bwfmgAoQnbK9_QNfDNCOPmAtsyWCRvCzy1SnaDY4WDa3zB8AeWJtTwoYh0VH8SLOE_7McVwoq0R65cDtikNW0uoZueANTFtIoFyNFXCvBMNMJzAd0txymZp_BPggE3iVejYUR7LCxfdPhnknP9yMzyBnKuX9HoWMhQlbXyl74MV2Oi7vwcPEFUDo2hlYilWNGpJfcfvlUEFATnbeftJ5H96f-L3q5z6zNPWujCY5BaO_MxuTosTB6SusA8h95ly7DC8mAz4IJBgEGrlov89SXROEWcbKYMLrSJdqD9LbDmU6lvc2GFhbppKnwvYN3L6zAcbIUSgAecSU2Ognt3FSDcOtKX255nTcO4EaLDa7iBcfftHLkYq2uCQqA_2jAaw-F6LORy5THOOP-CWPTzHzdVG120Qkqz-2ldoRAfe4Qkcoq58eUx9GlcE,,,,,task-politeness,,,,,
2020,ACL,Politeness Transfer: A Tag and Generate Approach,"Aman Madaan, Amrith Setlur, Tanmay Parekh, Barnabas Poczos, Graham Neubig, Yiming Yang, Ruslan Salakhutdinov, Alan W Black, Shrimai Prabhumoye",https://arxiv.org/pdf/2004.14257.pdf,Politeness https://github.com/tag-and-generate/,https://github.com/tag-and-generate/,,,task-politeness,,,,,
Wikipedia Simplification,,,,,,,,,,,,,,
2010,COLING,A monolingual tree-based translation model for sentence simplification,"Zhemin Zhu, Delphine Bernhard, and Iryna Gurevych",https://www.aclweb.org/anthology/C10-1152.pdf,,,,,task-simplification,,,,,
Medical Text Simplification,,,,,,,,,,,,,,
2019,KDD,Unsupervised Clinical Language Translation,"Wei-Hung Weng, Yu-An Chung, Peter Szolovits",https://arxiv.org/pdf/1902.01177.pdf,,,,,task-simplification,,,,Dataset: MIMIC-III (non-parallel) 59K documents.,
2019,WWW,Evaluating neural text simplification in the medical domain,"Laurens Van den Bercken, Robert-Jan Sips, Christoph Lofi",https://dl.acm.org/doi/pdf/10.1145/3308558.3313630?casa_token=WQIEtRWIgTQAAAAA:nJFh6PMhJ6OewHu9KevGbYQ_nMGFwZG3Tv1FURmDuOsZ7UgvwoVHaolirEzMRuK2PpUjjsU6t8o,,,,,task-simplification,,,,Dataset: 2.2K Expert-to-Layman conversion,
2020,ACL,Expertise Style Transfer: A New Task Towards Better Communication between Experts and Laymen,"Yixin Cao, Ruihao Shui, Liangming Pan, Min-Yen Kan, Zhiyuan Liu, Tat-Seng Chua",https://arxiv.org/pdf/2005.00701.pdf,,https://srhthu.github.io/expertise-style-transfer/,MSD (parallel) https://srhthu.github.io/expertise-style-transfer/,,task-simplification,,,,Dataset: MSD (parallel) 114K sentences.,
Prose style transfer,,,,,,,,,,,,,,
2012,COLING,Paraphrasing for Style,"Wei Xu, Alan Ritter, Bill Dolan, Ralph Grishman, Colin Cherry",https://www.aclweb.org/anthology/C12-1177.pdf,,,,,task-prose,,,,,
2017,EMNLP Workshop,Shakespearizing Modern Language Using Copy-Enriched Sequence to Sequence Models,"Harsh Jhamtani, Varun Gangal, Eduard Hovy, Eric Nyberg",https://arxiv.org/pdf/1707.01161.pdf,,https://github.com/harsh19/Shakespearizing-Modern-English,,,task-prose,shakespeare,supervised,,,
2018,Royal Society open science,Evaluating prose style transfer with the Bible,"Keith Carlson, Allen Riddell, Daniel Rockmore",https://arxiv.org/pdf/1711.04731.pdf,,https://github.com/keithecarlson/StyleTransferBibleData,Bible https://github.com/keithecarlson/StyleTransferBibleData,,task-prose,bible,supervised,,,
2020,AAAI,Adapting Language Models for Non-Parallel Author-Stylized Rewriting,"Bakhtiyar Syed, Gaurav Verma, Balaji Vasan Srinivasan, Anandhavelu Natarajan, Vasudeva Varma",https://arxiv.org/pdf/1909.09962,,,,,task-prose,,,,,
Attractiveness,,,,,,,,,,,,,,
2016,EMNLP,A Theme-Rewriting Approach for Generating Algebra Word Problems,"Rik Koncel-Kedziorski, Ioannis Konstas, Luke Zettlemoyer, Hannaneh Hajishirzi",https://arxiv.org/pdf/1610.06210.pdf,,,,,task-attractiveness,,,,"Dataset: Star Wars script with 7300 words, Cartoon scripts with 1370 words",plain math problem -> engaging stories
2020,ACL,Hooks in the Headline: Learning to Generate Headlines with Controlled Styles,"Di Jin, Zhijing Jin, Joey Tianyi Zhou, Lisa Orii, Peter Szolovits",https://arxiv.org/pdf/2004.01980.pdf,,,,,task-attractiveness,,,,"Dataset: 146K NYT+CNN headlines, 500K humorous sentences, 500K romantic sentences, 500K clickbaity headlines.",
2021,AAAI,The Style-Content Duality of Attractiveness: Learning to Write Eye-Catching Headlines via Disentanglement,"Mingzhe Li, Xiuying Chen, Min Yang, Shen Gao, Dongyan Zhao, Rui Yan",https://arxiv.org/pdf/2012.07419.pdf,,,,,task-attractiveness,,,,,
Emotion,,,,,,,,,,,,,,
2020,ACL Workshop,Challenges in Emotion Style Transfer: An Exploration with a Lexical Substitution Pipeline,"David Helbig, Enrica Troiano, Roman Klinger",https://arxiv.org/pdf/2005.07617.pdf,,,,,task-emotion,,unsupervised,edit,,
Debias subjectivity,,,,,,,,,,,,,,
2018,ACL,Fighting Offensive Language on Social Media with Unsupervised Text Style Transfer,"Cicero Nogueira dos Santos, Igor Melnyk, Inkit Padhi",https://arxiv.org/pdf/1805.07685.pdf,,,,,task-debiasing,,unsupervised,disentanglement,,
2020,AAAI,Automatically Neutralizing Subjective Bias in Text,"Reid Pryzant, Richard Diehl Martinez, Nathan Dass, Sadao Kurohashi, Dan Jurafsky, Diyi Yang",https://arxiv.org/pdf/1911.09709.pdf,,https://github.com/rpryzant/neutralizing-bias,,,task-debiasing,,supervised,,,
2020,COLING,Towards A Friendly Online Community: An Unsupervised Style Transfer Framework for Profanity Redaction,"Minh Tran, Yipeng Zhang, Mohammad Soleymani",https://arxiv.org/pdf/2011.00403.pdf,,,,,task-debiasing,,,,,
2020,EMNLP,Unsupervised Controllable Revision for Biased Language Correction,"Xinyao Ma, Maarten Sap, Hannah Rashkin, Yejin Choi",https://www.aclweb.org/anthology/2020.emnlp-main.602.pdf,,,,,task-debiasing,,,,,
Evaluation Metrics,,,,,,,,,,,,,,
2019,NAACL,Evaluating Style Transfer for Text,"Remi Mir, Bjarke Felbo, Nick Obradovich, Iyad Rahwan",https://arxiv.org/pdf/1904.02295.pdf,,https://github.com/passeul/style-transfer-model-evaluation,,,metrics,,,,,
2019,INLG,Rethinking Text Attribute Transfer: A Lexical Analysis,"Yao Fu, Hao Zhou, Jiaze Chen, Lei Li",https://arxiv.org/pdf/1909.12335,,https://github.com/FranxYao/pivot_analysis,,,metrics,,,,,
2019,WNGT,Learning Criteria and Evaluation Metrics for Textual Transfer between Non-Parallel Corpora / Unsupervised Evaluation Metrics and Learning Criteria for Non-Parallel Textual Transfer,"Richard Yuanzhe Pang, Kevin Gimpel",https://www.aclweb.org/anthology/D19-5614.pdf,,,,,metrics,,,,,
2019,arXiv,The Daunting Task of Real-World Textual Style Transfer Auto-Evaluation,Richard Yuanzhe Pang,https://arxiv.org/pdf/1910.03747,,,,,metrics,,,,,
2018,arXiv,What is wrong with style transfer for texts?,"Alexey Tikhonov, Ivan P. Yamshchikov",https://arxiv.org/pdf/1808.04365,,,,,metrics,,,,,
2020,COLING,Style versus Content: A distinction without a (learnable) difference?,"Somayeh Jafaritazehjani, Gwénolé Lecorvé, Damien Lolive, John Kelleher",https://www.aclweb.org/anthology/2020.coling-main.197.pdf,,,,,metrics,,,,,
2021,AAAI,Style-transfer and Paraphrase: Looking for a Sensible Semantic Similarity Metric,"Ivan P. Yamshchikov, Viacheslav Shibaev, Nikolay Khlebnikov, Alexey Tikhonov",https://arxiv.org/pdf/2004.05001.pdf,,https://github.com/VAShibaev/semantic_similarity_metrics,,,metrics,,,,,
,,,,,,,,,,,,,,
Controlled Text Generation,,,,,,,,,,,,,,
2021,ICLR Oral,A Distributional Approach to Controlled Text Generation,"Muhammad Khalifa, Hady Elsahar, Marc Dymetman",https://arxiv.org/pdf/2012.11635.pdf,,,,,controlled-text,,,,,
